BA_Entry,BA_Notes,BA_Proof,CampNote,Children,Count,DataEntry,DataProof,DeathP,DemogNote,DemographicsList,DurMax,DurMid,DurMin,DurPrec,Elderly,EnclNote,EnclType,EncyChap,EncyPP,EncyStruc,EncyTitle,EncyVol,EndCert,EndEarly,EndLate,EndMidYear,EndMid_ISO,EndMid_parsed,EndNote,EndPrec,EndQuote,EndType,EpiCert,EpiDysente,EpiNone,EpiOther,EpiTubercu,EpiTyphoi,EpiTyphus,EpiUnspeci,EpidemNote,Epidemic,ForcMovIn,ForcMovOut,GPopCert,GPopMax,GPopOther,GType,GerOcCert,GerOcEarly,GerOcLate,GerOcMidYear,GerOcMid_ISO,GerOcMid_parsed,GerOcNote,GerOcPrec,GerOcQuote,HPBelowG,HPNew,HPNote,HPReuse,HoldPNote,HoldPNum,HoldPStruc,HoldPStruc_ag_ind_mil_building_s,HoldPStruc_ag_mil_building,HoldPStruc_barrack,HoldPStruc_castle,HoldPStruc_district,HoldPStruc_factory_building,HoldPStruc_field_outdoors,HoldPStruc_house_s,HoldPStruc_hut_shed_or_tent,HoldPStruc_jail_prison_or_cell,HoldPStruc_jewish_community_building_s,HoldPStruc_market_square,HoldPStruc_neighborhood,HoldPStruc_other,HoldPStruc_other_building,HoldPStruc_private_residence,HoldPStruc_public_building,HoldPStruc_public_building_s,HoldPStruc_street_s,HoldPStruc_uncertain,HoldPStruc_underground,HoldPStruc_unknown,HoldPStruc_unspecified,HoldPStruc_whole_settlement,Incomers,InmateNote,InmateType,Judenrat,LBldNew,LBldReuse,LExName,LExNote,LabBelowG,LabIndoors,LabOutdoors,LabPlNote,Labor,LaborNote,LaborType,Lat_Y,LbArmament,LbBuildMat,LbCert,LbCivicDef,LbCleaning,LbCollDead,LbConstruc,LbFarm,LbManufact,LbNone,LbOilCoal,LbOther,LbTransMat,LbUnspecif,Link_TMB,LocNotes,Long_X,MM,Men,MoveNote,Nation,OldID,OtherOcc,OtherSys,Outgoers,PC_Entry,PC_Notes,PC_Proof,PMaxCert,PMaxNote,PMaxPop,Place,Place_clean,PopJ,PopJCert,PopJOc,PopJOcCert,PopJYear,PopNote,Refugee,RegionAbbr,RemoveLast,RestrNote,RestrQuote,RestrTime,RestrType,RestrType_bodies_marked,RestrType_bodily_harm,RestrType_cultural,RestrType_dispossession,RestrType_economic_activity,RestrType_homes_marked,RestrType_imprisonment,RestrType_jewish_police,RestrType_labor,RestrType_leaving_holding_place,RestrType_leaving_settlement,RestrType_movement_within_settlement,RestrType_murder,RestrType_other,RestrType_registration,RestrType_residential_separation,RestrType_sexual_violence,RestrType_uncertain,RestrType_unknown,RestrType_unspecified,SiteAlias,SiteID,SiteLoc,SiteName,SiteNmEncy,SiteType,StartCert,StartEarly,StartLate,StartMidYear,StartMid_ISO,StartMid_parsed,StartNote,StartPrec,StartQuote,StartType,Women,WorkProx,Youth,dropdown_EncyStruc,dropdown_SiteType,mentioned_in_transcripts,transcript_mention_count
JM,"Uncertain end date, so the dates are the end dates for Preili and Viski",JH,,,,,,unknown,,,33,14,-4,37,,DG: Changed EnclType from existing building(s) to unknown,existing building(s),,999,Estonia and Latvia Regions,Ghettos in German-occupied Eastern Europe,2,,1/7/41,2/8/41,2041,1941-07-17,7/17/41,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,unknown,approximate,57,,other,,6/28/41,6/28/41,2041,1941-06-28,6/28/41,,0,"German armed forces occupied the village on June 28, 1941…",,,,,"CR: The Jews were held in a school in the town. In the nearby town of Somerseta, now part of Aglona and thus included in the same entry, the Jews were confined in an unspecified building.",2,public building(s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,unknown,,,,,,,,,transporting materials,,,56.123805,FALSE,FALSE,certain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,27.016305,1,,,,226,,,,CR,"ED: HoldPStruc: deleted unspecified; EnclType: changed back to existing buildings; GType: deleted none given, changed to other (temporary ghetto)",DG/ED,,,,,,57,certain,,,1935,"DG: Change GpopMax to 57 and GPopCert from unkown to approximate, as 56 Jews were killed in a killing action and one Jewish woman was saved.",unknown,ELT,,"DG: Changed RestrTime from soon to immediately, as a few days is within a week of occupation. Added labor to RestrType.","A few days after the occupation, all the Jews were herded into a school, which became a temporary ghetto for them.",immediately,bodily harm;cultural;dispossession;imprisonment;labor;murder,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2494,,Aglona                  ,,Ghetto,,6/30/41,5/7/41,2041,1941-02-07,2/7/41,,,,,,,,Estonia and Latvia Regions,Ghetto,FALSE,0
JM,Entry indicates a lot of uncertainty,JH,,,,,,unknown,,,93,80,66,27,,DG: Removed existing building(s) from EnclType,unknown,,999-1000,Estonia and Latvia Regions,Ghettos in German-occupied Eastern Europe,2,,10/26/41,10/26/41,2041,1941-10-26,10/26/41,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,unknown,unknown,,,none given,,6/28/41,6/28/41,2041,1941-06-28,6/28/41,,0,"Units of the German Army Group North captured the town on June 28, 1941…",,,,,"CR: The entry mentions that a ghetto was created in the poorest area of town, but does not specify what this consisted of.",1,Jewish community building(s);unspecified,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,unknown,,,,,,,,,unspecified,,,56.72425,FALSE,FALSE,certain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,21.606527,2,,,,227,,,,CR,,DG/ED,,,,,,534,certain,400,,1935,CR: The entry states that more than 400 Jews remained at the time of occupation.,unknown,ELT,,DG: Changed RestrTime from longer to soon,"On July 24, 1941, the Germans carried out the first anti-Jewish Aktion in Aizpute, in which 39 Jews and two Latvian women were taken to the woods near the local Jewish cemetery and shot.",soon,bodily harm;dispossession;labor;murder;residential separation,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,2495,,Aizpute                 ,,Ghetto,,7/25/41,8/21/41,2041,1941-07-08,7/8/41,,,,,,,,Estonia and Latvia Regions,Ghetto,FALSE,0
CS/ AW,,JH,,,,,,unknown,,,70,46,21,49,,,unknown,,1761,Eastern Ukraine and Crimea Region,Ghettos in German-occupied Eastern Europe,2,,1/21/42,9/2/42,2042,1942-01-30,1/30/42,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,unknown,certain,29,,none given,,10/14/41,10/14/41,2041,1941-10-14,10/14/41,,0,"The town was occupied by German troops on October 14, 1941, about 16 weeks after the start of the German invasion of the Soviet Union on June 22.",,,,,,1,unspecified,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,unknown,,,,,,,,,unspecified,,,50.3,FALSE,FALSE,certain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,34.883333,1,,,,257,,,,DG,,MK,,,,,,277,certain,28,,1939,"DG: I set GPopMax to uncertain because the establishment of the ghetto and the deaths of three women both occurred in December 1941, with no indication as to which came first. Proof MK: PopJOc: the entry says about 90% of the Jews managed to escape between June and October 1941, when the Germans occupied the town. Took 10% of 277=28 and changed PopJOcCert to approximate. GPopCert: changed uncertain to certain-- entry says 29 Jews were counted in November 1941. The three women died in December 1941.",unknown,EUC,,,"A short time after the German occupation of the town, the German military authorities issued an order that the Jews had to register and wear armbands on their sleeves.",soon,bodies marked;labor;murder;registration;residential separation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,3070,,Akhtyrka,,Ghetto,,1/12/41,12/31/41,2041,1941-12-16,12/16/41,,,,,,,,Eastern Ukraine and Crimea Region,Ghetto,FALSE,0
JH,really hard to call this a ghetto. Men were imprisoned in the local prison and then all Jews were transported out.,AW&JH,,,,,,unknown,,,39,39,39,0,,,unknown,,1038,Lithuania Region,Ghettos in German-occupied Eastern Europe,2,,4/8/41,4/8/41,2041,1941-04-08,4/8/41,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,yes,unknown,,,none given,,6/26/41,6/26/41,2041,1941-06-26,6/26/41,,0,"On June 26, 1941, German armed forces captured the town.",,,,,,1,ag./ind./mil. building(s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,unknown,,,,,,,,,unknown,,,56.24604,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,22.74506,0,,,,439,,,,HC,"ED: EnclType: victims were imprisoned in grain silos, but it is not clear how far away these were from the village; did not select existing buildings",MK/ED,,,,,,100,approximate,,,1940,,unknown,LTH,,,"On June 26, 1941, German armed forces captured the town. Lithuanian nationalist collaborators immediately arrested all the Jewish men and put them into the town’s prison. On July 5-6, 1941, one of the few Germans present selected three Jews: the brothers Yosef and Faroush Yosselevich and a man named Shmidt. Asssisted by 15 local Lithuanians, the Germans took these men out and shot them. The other Jewish men remained in the prison until early August. From available sources, it is not completely clear whether the Jewish women and children were imprisoned together with the men in July or rounded up only in early August.",immediately,imprisonment;murder;residential separation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,2524,,Akmenė,,Ghetto,,6/26/41,6/26/41,2041,1941-06-26,6/26/41,,,,,,,,Lithuania Region,Ghetto,FALSE,0
ED,"EMD: chose farm labor because entry states ""the Germans drove groups of Jews out into the countryside to work."" [Proof JH: I do not think the mention of ""countryside"" is sufficiently clear to mean ""farm labor,"" so I changed it to ""unspecified.""; changed all ""no"" to ""unknown"", because no info given in the entry, as per data entry instructions.]",JH,,,,,,yes,,,427,406,386,41,,,barbed wire;fence;geographic feature,,1322,Volhynia and Podolia Region,Ghettos in German-occupied Eastern Europe,2,,9/21/42,9/21/42,2042,1942-09-21,9/21/42,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,unknown,unknown,,"ED: Over the following days, the Security Police detachment from Równe, assisted by the Ukrainian police and German Gendarmerie, shot 903 Jews from the Aleksandria ghetto in a nearby forest",none given,,6/29/41,6/29/41,2041,1941-06-29,6/29/41,,0,"Units of the German 6th Army occupied Aleksandria on June 29, 1941.",,,,,,1,street(s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,yes,,,,,,,,,unspecified,,,50.733986,FALSE,FALSE,certain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,26.343833,3,,,,732,,,,DG,"ED: added residential segregation, as all Jews were concentrated in the ghetto;",ED,,,,,,1293,certain,1100,,1921,,unknown,VPD,,,"On July 1–4, 1941, Ukrainian nationalists carried out anti-Jewish pogroms, including the burning of synagogues and the plundering of Jewish homes.",soon,bodies marked;bodily harm;cultural;dispossession;labor;leaving settlement;murder;residential separation,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,2733,,Aleksandria,,Ghetto,,7/21/41,8/31/41,2041,1941-10-08,10/8/41,,,,,,,,Volhynia and Podolia Region,Ghetto,FALSE,0
CS,"DG Proofing: Judenrat: changed to yes. While there was no Judenrat, there was a village elder. Labor: Added unspecified; ForcedMove_Out: Changed to yes. The entry states the ghetto population was trucked to somewhere near Ivangorod MM: reduced from 2 to 1, as one of the instances happened near Ivangorod, not Aleksandrovka. EMD: removed returns in notes field; note that on Forcedmove_out the entry states probaby so changed that to uncertain; changed MM to 2 as remaining Jewish craftsmen and families were killed",DG/EMD,,,,,,unknown,,,546,486,425,121,,,fence;guard(s),,1619-1619,Nikolaev and Dnepropetrovsk Regions,Ghettos in German-occupied Eastern Europe,2,,1/3/43,5/31/43,2043,1943-04-15,4/15/43,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,yes,uncertain,unknown,,,enclosed;Jewish district,,8/5/41,8/5/41,2041,1941-08-05,8/5/41,,0,"On August 5, 1941, six weeks after the German invasion of the USSR on June 22, 1941, German armed forces occupied the town.",,,,,,1,street(s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,yes,,,,,,,,,construction;unspecified,,,48.966666,FALSE,FALSE,certain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,32.233333,2,,,,555,,,,CR,"ED: PopJOcc: entered 339, as entry states approximately 60% remained. PopJOccCert: changed from uncertain to approximate; RestrType: added leaving holding place, as entry states that after the Aktion inhabitants were not permitted to leave the area of the ghetto; HoldPStruc: added guards, as entry states that local policemen would let Jews out of the ghetto. JH: Gtype: described as ""enclosed Jewish residential area"" in regional introduction essay, p. 1615.",ED,,,,,,565,certain,339,,1939,CR: Entry states that about 60 percent of the prewar Jewish population remained at the start of occupation.,unknown,NDP,,,"Shortly after the occupation of the town, the German military ordered the registration and marking of the Jews.",soon,bodies marked;dispossession;labor;leaving holding place;murder;registration;residential separation,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,2951,,Aleksandrovka,,Ghetto,,1/12/41,12/31/41,2041,1941-12-16,12/16/41,,,,,,,,Nikolaev and Dnepropetrovsk Regions,Ghetto,FALSE,0
JH,"Labor: ""After the roll call, the Jewish men were assigned to various types of forced labor, such as weeding parks and cleaning latrines.""",AW&JH,,,,,,unknown,,,10,5,0,10,,,unknown,,1038-1039,Lithuania Region,Ghettos in German-occupied Eastern Europe,2,,5/7/41,7/15/41,2041,1941-10-07,10/7/41,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,yes,uncertain,,"they told all the Jews to evacuate their houses and move into a ghetto, which consisted of just one street. Around 50 families lived together on this one street, with three or four families forced to share a house.",other,,6/25/41,6/25/41,2041,1941-06-25,6/25/41,,0,"German armed forces occupied the town on June 25, 1941",,,,,"HC: I was unsure to count the synagogue and bathhouse as two different places, and have recorded them as one due to the rules (err on the low side). There also seems to be conflict between the ghetto being established on one street, but immediately after the entry says the ghetto was a temporary ghetto that consisted of two houses, the bathhouse, and a synagogue. Proof MK: HoldPStruc: I count the bathhouse and the synagogue as two different places and added other for the bathhouse. The two other houses mentioned, which also constituted the ghetto, are recorded as houses and the third holding place.",3,house(s);Jewish community building(s);other;street(s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,unknown,,,,,,,,,cleaning;unspecified,,,56.033333,FALSE,FALSE,certain,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,22.05,0,,,,440,,,,HC,"HC: GType other is temporary ghetto; ED: RestrType: added cultural, as entry states that women and children were killed at home of priest who had intervened to prevent murder and saved the torah scrolls",MK/ED,,,,,,199,certain,,,1923,"HC: by 1941, the population of Jews decreased. Proof MK: PopJOcCert: changed from uncertain to unknown.",unknown,LTH,,HC: other is forbidden to have contact with non-Jews and roll call every morning when a ghetto was established. Proof MK: changed from soon to immediately as the Jews were moved into the ghetto with a couple of days upon German arrival.,"German armed forces occupied the town on June 25, 1941. Immediately thereafter, Lithuanian nationalists formed a local administration and a police force, which soon introduced a series of anti-Jewish measures. For example, all Jews were registered; their valuables were confiscated; and they were forbidden to appear in public places or to associate in any way with non-Jewish Lithuanians. According to Jewish survivor, Feiga Fishkin, within only a couple of days of the Germans’ arrival, they told all the Jews to evacuate their houses and move into a ghetto, which consisted of just one street. Around 50 families lived together on this one street, with three or four families forced to share a house.",immediately,bodily harm;cultural;dispossession;labor;movement within settlement;murder;other;registration;residential separation,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,2525,,Alsėdžiai,,Ghetto,,5/7/41,5/7/41,2041,1941-05-07,5/7/41,,,,,,,,Lithuania Region,Ghetto,FALSE,0
CS/ AW,,JH,,,,,,unknown,,,37,22,7,30,,DG: The entry notes the building was sealed from the outside.,existing building(s);guard(s),,1761-1762,Eastern Ukraine and Crimea Region,Ghettos in German-occupied Eastern Europe,2,,1/12/41,9/12/41,2041,1941-05-12,5/12/41,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,unknown,unknown,unknown,,,other;sealed,,11/2/41,11/2/41,2041,1941-11-02,11/2/41,,0,"Units of the German 11th Army occupied the town on November 2, 1941, four and a half months after Germany’s invasion of the USSR on June 22.",,,,,DG: The Jewish and Roma populations were forced to live in one building.,1,unspecified,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,unknown,,,,,,,,,unknown,,,44.675973,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,34.409858,2,,,,258,,,,DG,DG: The entry calls the ghetto a prison-style ghetto.,MK,,,,,,251,certain,100,,1939,,unknown,EUC,,"Proof MK: RestrType: deleted leaving holding place-- the entry does not explicitly say thay, only that the ghetto was sealed from the outside.","Soon after the occupation of Alushta, the German commandant ordered the town authority to organize the registration and marking of the Jews, who were required to wear white armbands bearing a yellow six-pointed star.",soon,bodies marked;murder;registration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,3071,,Alushta,,Ghetto,,2/11/41,11/24/41,2041,1941-11-13,11/13/41,,,,,,,,Eastern Ukraine and Crimea Region,Ghetto,FALSE,0
JH,"MM: I counted the destruction of the synagogue with hundreds of Jews inside. Labor: clearing streets of rubble. Transport Out: I counted the transport of several hundred Jews to Suwalki for labor and being killed, even though most of the Jewish population here was killed locally. [Proof AW: MM: I would count five (5): one on June 23, one one June 25, and the three listed for the liquidation. Refugee: ""the Jewish population of the town was about 1,730, in- cluding a number of Jewish refugees from the Suwałki Region, which was annexed by Germany in 1939.""]",AW&JH,,,8,,,unknown,,,50,40,31,19,,,unknown,,1039-1040,Lithuania Region,Ghettos in German-occupied Eastern Europe,2,,9/9/41,9/9/41,2041,1941-09-09,9/9/41,,,,,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,unknown,yes,yes,approximate,1400,HC: the ghetto had between 1300 and 1500 people; average would be 1400. This also includes Jews from the surrounding area.,none given,,6/24/41,6/24/41,2041,1941-06-24,6/24/41,,0,"German armed forces attacked the town on June 22, 1941. During the fighting, which lasted until June 24,",,,,,"HC: several streets in the poorest part of town. Proof MK: HoldPStruc,HoldPNum: added 1 Jewish community building(s) for the synagogue which hundreds of Jews were forced into before it was destroyed. ED: not clear that the synagogue was a holding place, as it appears to have been a short time before it was destroyed",1,street(s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,yes,,,,,,,,,construction,,,54.4,FALSE,FALSE,certain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,24.05,4,,,,441,,,,HC,"ED: PopJ: moved to PopJOcc; changed certainties, deleted 1939; HoldPStruc: deleted Jewish community builing; HoldPNum: changed from 2 to 1",MK/ED,,,,Alytus,alytus,,approximate,1730,,1939,,yes,LTH,,"HC: other is forbidden to swim in certain parts of the Memel River and could not speak Yiddish on the telephone. Proof MK: RestrType: added cultural for the destruction of the synagogue. Deleted Jewish police as I understand it as being Lithuanian policemen. ED: also other: owning bicyles, radios and motorcycles","German armed forces attacked the town on June 22, 1941. During the fighting, which lasted until June 24, 214 residences and 160 other buildings were destroyed by German bombardment.  A number of Jews died in the bombing and under the ruins, but on June 23, after two members of the Wehrmacht had been found killed near a mill, German soldiers shot the first civilians: 42 people, some of whom were Jews.",immediately,bodies marked;cultural;dispossession;economic activity;imprisonment;labor;movement within settlement;murder;other;residential separation,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,2526,,Alytus,,Ghetto,,7/21/41,9/8/41,2041,1941-07-30,7/30/41,,,,,,,,Lithuania Region,Ghetto,TRUE,8
,,,,,,,,,,,,,,,,,,,,Romania,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,47.714861,,,,,,,,,,,,,,,,,29.990667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4479,,Ananiev,,Ghetto,,,,,,,,,,,,,,Romania,Ghetto,FALSE,0
