BA_Entry,BA_Notes,BA_Proof,CampNote,Children,Count,DataEntry,DataProof,DeathP,DemogNote,DemographicsList,DurMax,DurMid,DurMin,DurPrec,Elderly,EnclNote,EnclType,EncyChap,EncyPP,EncyStruc,EncyTitle,EncyVol,EndCert,EndEarly,EndLate,EndMidYear,EndMid_ISO,EndMid_parsed,EndNote,EndPrec,EndQuote,EndType,EpiCert,EpiDysente,EpiNone,EpiOther,EpiTubercu,EpiTyphoi,EpiTyphus,EpiUnspeci,EpidemNote,Epidemic,ForcMovIn,ForcMovOut,GPopCert,GPopMax,GPopOther,GType,GerOcCert,GerOcEarly,GerOcLate,GerOcMidYear,GerOcMid_ISO,GerOcMid_parsed,GerOcNote,GerOcPrec,GerOcQuote,HPBelowG,HPNew,HPNote,HPReuse,HoldPNote,HoldPNum,HoldPStruc,HoldPStruc_ag_ind_mil_building_s,HoldPStruc_ag_mil_building,HoldPStruc_barrack,HoldPStruc_castle,HoldPStruc_district,HoldPStruc_factory_building,HoldPStruc_field_outdoors,HoldPStruc_house_s,HoldPStruc_hut_shed_or_tent,HoldPStruc_jail_prison_or_cell,HoldPStruc_jewish_community_building_s,HoldPStruc_market_square,HoldPStruc_neighborhood,HoldPStruc_other,HoldPStruc_other_building,HoldPStruc_private_residence,HoldPStruc_public_building,HoldPStruc_public_building_s,HoldPStruc_street_s,HoldPStruc_uncertain,HoldPStruc_underground,HoldPStruc_unknown,HoldPStruc_unspecified,HoldPStruc_whole_settlement,Incomers,InmateNote,InmateType,Judenrat,LBldNew,LBldReuse,LExName,LExNote,LabBelowG,LabIndoors,LabOutdoors,LabPlNote,Labor,LaborNote,LaborType,Lat_Y,LbArmament,LbBuildMat,LbCert,LbCivicDef,LbCleaning,LbCollDead,LbConstruc,LbFarm,LbManufact,LbNone,LbOilCoal,LbOther,LbTransMat,LbUnspecif,Link_TMB,LocNotes,Long_X,MM,Men,MoveNote,Nation,OldID,OtherOcc,OtherSys,Outgoers,PC_Entry,PC_Notes,PC_Proof,PMaxCert,PMaxNote,PMaxPop,Place,Place_clean,PopJ,PopJCert,PopJOc,PopJOcCert,PopJYear,PopNote,Refugee,RegionAbbr,RemoveLast,RestrNote,RestrQuote,RestrTime,RestrType,RestrType_bodies_marked,RestrType_bodily_harm,RestrType_cultural,RestrType_dispossession,RestrType_economic_activity,RestrType_homes_marked,RestrType_imprisonment,RestrType_jewish_police,RestrType_labor,RestrType_leaving_holding_place,RestrType_leaving_settlement,RestrType_movement_within_settlement,RestrType_murder,RestrType_other,RestrType_registration,RestrType_residential_separation,RestrType_sexual_violence,RestrType_uncertain,RestrType_unknown,RestrType_unspecified,SiteAlias,SiteID,SiteLoc,SiteName,SiteNmEncy,SiteType,StartCert,StartEarly,StartLate,StartMidYear,StartMid_ISO,StartMid_parsed,StartNote,StartPrec,StartQuote,StartType,Women,WorkProx,Youth,dropdown_EncyStruc,dropdown_SiteType,mentioned_in_transcripts,transcript_mention_count
,,,,,,,,,,,,,,,,,,,,Vichy Africa,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,31.02495551,,,,,,,,,,,,,,,,,-2.710602853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4172,,Abadla,,Camp,,,,,,,,,,,,,,Vichy Africa,Camp,FALSE,0
,,,,FALSE,,JH,ED,,JH: All inmates were male,Men,281,266,251,30,FALSE,,,Buchenwald,300,Buchenwald,"Early Camps, Youth Camps, and Concentration Camps and Subcamps under the SS-Business Administration Office (WVHA)",1,,4/8/45,4/8/45,1945,1945-04-08,4/8/45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,"JH: ""The inmates were housed in two munitions halls…""",TRUE,,,factory building,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Buchenwald/Eisenach; Buchenwald,,,,FALSE,FALSE,Bayerische Motoren Werke,,TRUE,TRUE,FALSE,"JH: ""The inmates were assigned to work in underground construction installations for the BMW fi rm as well as in the above- ground production of aircraft engine parts."" ED: added labor indoors, as inmates also worked in the above-ground roduction hall",,"JH: production of aircraft engine parts for BMW, possibly also in constructing underground production facilties. ""The inmates were assigned to work in underground construction installations for the BMW fi rm as well as in the above- ground production of aircraft engine parts.""",armaments,50.905899,,,,,,,,,,,,,,,,,10.073487,,TRUE,"JH: ""On March 17, 1945, 40 inmates may have been transferred to Berka, a subcamp of Buchenwald in Tonndorf, from Abteroda, although the transport list is not specific about the origin of the transfer.""",French;German;Italian;Polish;Russian,,,,Buchenwald,,,,approximate,,230,,,,,,,,,,,Buchenwald,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Anton; An,159,,Abteroda men,Abteroda (men),Subcamp,,7/1/44,7/31/44,1944,1944-07-16,7/16/44,,,,,FALSE,near (within about 0.5 km or less),FALSE,Buchenwald,Subcamp,FALSE,0
,,,,FALSE,,JH,ED/MK,,,Women,190,171,152,38,FALSE,,,Buchenwald,300-301,Buchenwald,"Early Camps, Youth Camps, and Concentration Camps and Subcamps under the SS-Business Administration Office (WVHA)",1,,4/1/45,4/9/45,1945,1945-04-05,4/5/45,,,,,,,,,,,,,,dysentery;tuberculosis;unspecified epidemic,,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ravensbrück; Buchenwald subcamps; Buchenwald/Torgau,MK: InmateType: other = Aryan.,other,,FALSE,FALSE,Bayerische Motoren Werke,,FALSE,FALSE,FALSE,,,"JH: ""production of chemicals for blasting agents.""",armaments,50.905899,,,,,,,,,,,,,,,,,10.073487,,FALSE,,French,,,,Buchenwald subcamps; Buchenwald/Markkleeburg,,,,certain,,249,,,,,,,,,,,Eisenach area,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Anton; An,160,,Abteroda women,Abteroda (women),Subcamp,,10/1/44,10/31/44,1944,1944-10-16,10/16/44,,,,,TRUE,,FALSE,Buchenwald,Subcamp,FALSE,0
,,,,,,,,,,,,,,,,,,,,Romania,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,47.656944,,,,,,,,,,,,,,,,,31.210833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4476,,Acmecetca,,Camp,,,,,,,,,,,,,,Romania,Camp,FALSE,0
,,,,FALSE,,JH,ED,,,Men,1047,1032,1017,30,FALSE,,,Stutthof,1427-1428,Stutthof,"Early Camps, Youth Camps, and Concentration Camps and Subcamps under the SS-Business Administration Office (WVHA)",1,,7/1/42,7/31/42,1942,1942-07-16,7/16/42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,ED: the prisoners were quarted in the private home of a Polish woman; HoldPStruc: selected private residence; HPReuse: selected,TRUE,,,private residence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lebrechtsdorf camp; Stutthof,,,,FALSE,FALSE,,,FALSE,TRUE,TRUE,,,,building material;cleaning;construction,54.477178,,,,,,,,,,,,,,,,,18.547949,,TRUE,ED: Incomers: added Stutthof,Polish,,,,,,,,certain,,50,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,994,,Adlershorst,Adlershorst,Subcamp,,9/18/39,9/18/39,1939,1939-09-18,9/18/39,,,,,FALSE,,FALSE,Stutthof,Subcamp,FALSE,0
,,,,,15,,,,,,,,,,,,,,,France/Vichy,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,43.312444,,,,,,,,,,,,,,,,,3.470833,,,,,,,,,,,,,,,Agde,agde,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4047,,Agde,,Camp,,,,,,,,,,,,,,France/Vichy,Camp,TRUE,15
,,,,,,,,,,,,,,,,,,,,Vichy Africa,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,30.70401567,,,,,,,,,,,,,,,,,-6.452442809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4173,,Agdz,,Camp,,,,,,,,,,,,,,Vichy Africa,Camp,FALSE,0
,,,,,5,,,,,,,,,,,,,,,Italy,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,41.808667,,,,,,,,,,,,,,,,,14.373889,,,,,,,,,,,,,,,Agnone,agnone,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4327,,Agnone,,Camp,,,,,,,,,,,,,,Italy,Camp,TRUE,5
,,,,FALSE,,ED,JH,,,,218,218,218,0,FALSE,,,Early Camps,17-18,Early camps,"Early Camps, Youth Camps, and Concentration Camps and Subcamps under the SS-Business Administration Office (WVHA)",1,,5/9/34,5/9/34,1934,1934-05-09,5/9/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,ED: HoldPStruc: management building of an old sugar mill; later moved to a closed-down shoe factory in the middle of town,TRUE,,,factory building,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ahrensbök,"ED: InmateType: other=enemies of the community JH: add protective custody? ""The second largest group of protective custody prisoners were the “undesirables,” and from late September 1933, those designated work shy, asocials, and the beggars in this part of the state were subject to special persecution.""",asocial;civilian forced labor;other;political prisoner;protective or preventive custody;work-shy,,FALSE,FALSE,,,FALSE,FALSE,TRUE,,,ED: LaborType:  continuation of FAD project. JH: The FAD project was road construction.,construction,54.026144,,,,,,,,,,,,,,,,,10.593556,,FALSE,,German,,,Sturmabteilung (SA),,,,,uncertain,"ED: total number of prisoners is 94; 164 forced laborers; there is no single Incomer number. JH: 164 forced laborers were employed in total over time at a factory for linen production. The plan for the camp ""was to hold between 50 and 70 protective custody prisoners."" Since no maximum number is tated, I entered the total number.",94,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,,Ahrensbök-Holstendorf,Ahrensbök-Holstendorf,Subcamp,,10/3/33,10/3/33,1933,1933-10-03,10/3/33,,,,,FALSE,,FALSE,Early camps,Subcamp,FALSE,0
,,,,,,,,,,,,,,,,,,,,Vichy Africa,Camps and Ghettos under European Regimes Aligned with Nazi Germany,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,34.48807128,,,,,,,,,,,,,,,,,-2.044231865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4174,,Ain Guenfounda,,Camp,,,,,,,,,,,,,,Vichy Africa,Camp,FALSE,0
